Station,County,Line,London_Terminus,Operator,Drive_Time_Horsham_Minutes,Drive_Time_Hertford_Minutes,Latitude,Longitude,Train_Times_To_Terminals,Min_Train_Time_Minutes
Cheshunt,Hertfordshire,West Anglia Main Line (Greater Anglia),Liverpool Street,,86,15,51.7030511,-0.0239482,Liverpool Street:29,29
Chichester,West Sussex,West Coastway (Southern),Victoria,,47,127,50.83761000000001,-0.774936,Victoria:96,96
Chippenham,Wiltshire,GWR,Paddington,,132,128,51.46236630000001,-2.1153249,Paddington:75,75
Cholsey,Oxfordshire,GWR,Paddington,,95,88,51.57508079999999,-1.1532624,Paddington:62,62
Christchurch,Dorset,South Western Main Line (SWR),Waterloo,,119,149,50.735777,-1.778586,Waterloo:122,122
Clacton-on-Sea,Essex,Greater Anglia,Liverpool Street,,121,82,51.79401,1.15412,Liverpool Street:96,96
Clandon,Surrey,New Guildford Line (SWR),Waterloo,,39,79,51.2639508,-0.5028264,Waterloo:59,59
Claygate,Surrey,New Guildford Line (SWR),Waterloo,,43,75,51.3610745,-0.3482477,Waterloo:41,41
Cobham & Stoke D'Abernon,Surrey,New Guildford Line (SWR),Waterloo,,37,74,51.318096,-0.389323,Waterloo:48,48
Colchester,Essex,Greater Anglia,Liverpool Street,,102,63,51.900702,0.892606,Liverpool Street:55,55
Colchester Town,Essex,Greater Anglia,Liverpool Street,,104,65,51.8864528,0.9042912999999999,Liverpool Street:74,74
Cooden Beach,East Sussex,Hastings Line (Southeastern),Charing Cross,,67,119,50.8336911,0.4271553,Charing Cross:131,131
Cooksbridge,East Sussex,Brighton Main Line (Southern),Victoria / London Bridge,,41,116,50.90375,-0.009179999999999999,"Victoria:70, London Bridge:68",68
Cosham,Hampshire,Portsmouth Direct (SWR),Waterloo,,62,117,50.8433024,-1.0742463,Waterloo:119,119
Coulsdon South,Surrey,Brighton Main Line (Southern / Thameslink),Victoria / London Bridge,,32,80,51.31577739999999,-0.1379421,"Victoria:32, London Bridge:29",29
Coventry,West Midlands,Avanti West Coast / West Midlands Trains,Euston,,145,118,52.4010446,-1.5146755,Euston:64,64
Crawley,West Sussex,Brighton Main Line / Horsham Line (Southern),Victoria,,15,89,51.1121883,-0.1864694,Victoria:43,43
Crowborough,East Sussex,Uckfield Line (Southern),London Bridge,,52,89,51.06085299999999,0.165894,London Bridge:71,71
Cuffley,Hertfordshire,Great Northern (Thameslink),Moorgate / King's Cross,,88,19,51.705037,-0.11246,"Moorgate:42, King's Cross:41",41
Dartford,Kent,Southeastern,Charing Cross / London Bridge,,55,55,51.44621,0.216872,"Charing Cross:53, London Bridge:37",37
Datchet,Berkshire,Windsor Line (SWR),Waterloo,,57,54,51.4840262,-0.5795205999999999,Waterloo:59,59
Deal,Kent,Chatham Main Line (Southeastern),Victoria / Charing Cross,,112,123,51.222491,1.401661,"Victoria:108, Charing Cross:110",108
